Team,,Payer Information,,,Technician Certifications,,,,,Telehealth,,,,,,Direct/Indirect,,,,BCaBA Allowances,,,Group Therapy Size Specifications,,,Miscellaneous Payer Rules,,
Caleb/Catie,MHN - Oregon - Private,Centria Autism Services-Oregon,National,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,,,,,,No,No,No,,,,,,
Caleb/Catie,Ottawa - Michigan - Medicaid,Centria Autism Services-Michigan,County,Medicaid,No,No,Yes,Yes,No,No,Yes,Yes,No,N/A,Yes,,,20%,Yes,Yes,Yes,Yes,Max of 8,Max of 8,Max of 8,,,
Caleb/Catie,Magellan - San Mateo - California - Medicaid,Centria Autism Services-California,County,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,93,,Yes,No,N/A,,,,,,,,,,
Caleb/Catie,Oakland Family Services - Michigan - Medicaid,Centria Autism Services-Michigan,County,Medicaid,No,No,Yes,Yes,No,No,Yes,Yes,No,N/A,Yes,,,20%,Yes,Yes,Yes,Yes,Max of 8,Max of 8,Max of 8,,,
Caleb/Catie,Montcalm - Michigan - Medicaid,Centria Autism Services-Michigan,County,Medicaid,No,No,Yes,Yes,No,No,Yes,Yes,No,N/A,Yes,,,20%,Yes,Yes,Yes,Yes,Max of 8,Max of 8,Max of 8,,,
Caleb/Catie,Monroe - Michigan - Medicaid,Centria Autism Services-Michigan,County,Medicaid,No,No,Yes,Yes,No,No,Yes,Yes,No,N/A,Yes,,,20%,Yes,Yes,Yes,Yes,Max of 8,Max of 8,Max of 8,,,
Caleb/Catie,Magellan - Michigan - Private,Centria Autism Services-Michigan,National,Private,Yes,No,Yes,No,No,Yes,Yes,Yes,No,N/A,Yes,,,,,,,,,,,Approval for Tele Psych Testing is temporary,,
Caleb/Catie,Macomb Oakland Regional Center - Michigan - Medicaid,Centria Autism Services-Michigan,County,Medicaid,No,No,Yes,Yes,No,No,Yes,Yes,No,N/A,Yes,,,20%,Yes,Yes,Yes,Yes,Max of 8,Max of 8,Max of 8,,,
Caleb/Catie,Lenawee - Michigan - Medicaid,Centria Autism Services-Michigan,County,Medicaid,No,No,Yes,Yes,No,No,Yes,Yes,No,N/A,Yes,,,20%,Yes,Yes,Yes,Yes,Max of 8,Max of 8,Max of 8,,,
Caleb/Catie,Kalamazoo - Michigan - Medicaid,Centria Autism Services-Michigan,County,Medicaid,No,No,Yes,Yes,No,No,Yes,Yes,No,N/A,Yes,,,20%,Yes,Yes,Yes,Yes,Max of 8,Max of 8,Max of 8,,,
Caleb/Catie,Healthsmart - Cofinity - Michigan - Private,Centria Autism Services-Michigan,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,Yes,No,N/A,Yes,,,,,,,,,
Caleb/Catie,Kaiser Permanente Self Funded Plan - Oregon - Private,Centria Autism Services-Oregon,State,Private,Yes,No,No,No,No,Yes,Yes,Yes,No,N/A,,Yes,No,N/A,Yes,No,No,No,,,,,,
Caleb/Catie,Healthgram - Cofinity - Michigan - Private,Centria Autism Services-Michigan,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,Yes,No,N/A,Yes,,,,,,,,,
Caleb/Catie,Indiana University HP - Indiana - Private,Centrality Behavior Support Training,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,,,,,,,,,,,,,,
Caleb/Catie,Humana (TriCare East) - Michigan - TriCare,Centria Autism Services-Michigan,Federal,Tricare,Yes,No,Yes,Yes,No,No,No,Yes,No,N/A,,No,No,N/A,No,Yes,Yes,Yes,,,,Allows only 97156 telehealth after 6 months of service,,
Caleb/Catie,Humana (TriCare East) - Indiana - TriCare,Centrality Behavior Support Training,Federal,Tricare,Yes,No,Yes,Yes,No,No,No,Yes,No,N/A,,No,No,N/A,No,Yes,Yes,Yes,,,,Allows only 97156 telehealth after 6 months of service,,
Caleb/Catie,Humana - Oregon - Private,Centria Autism Services-Oregon,National,Private,No,No,Yes,Yes,No,No,No,Yes,No,N/A,,,,,,Yes,Yes,Yes,,,,,,
Caleb/Catie,Humana - Michigan - Private,Centria Autism Services-Michigan,National,Private,No,No,Yes,Yes,No,No,No,Yes,No,N/A,,,,,,,,,,,,,,
Caleb/Catie,Humana - California - Private,Centria Autism Services-California,National,Private,No,No,Yes,Yes,No,No,No,Yes,No,N/A,,,,,,,,,,,,,,
Caleb/Catie,Holman - California - Private,Centria Autism Services-California,State,Private,No,No,Yes,Yes,No,No,No,Yes,No,N/A,,,,,,,,,,,,,,
Caleb/Catie,Holman - California - Medi-Cal,Centria Autism Services-California,County,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,93,,Yes,No,N/A,,,,,,,,,,
Caleb/Catie,HNFS (TriCare West) - Oregon - TriCare,Centria Autism Services-Oregon,Federal,Tricare,Yes,No,Yes,Yes,No,No,No,Yes,No,N/A,,No,No,N/A,No,Yes,Yes,Yes,,,,Allows only 97156 telehealth after 6 months of service,,
Caleb/Catie,HNFS (TriCare West) - California - TriCare,Centria Autism Services-California,Federal,Tricare,Yes,No,Yes,Yes,No,No,No,Yes,No,N/A,,No,No,N/A,No,Yes,Yes,Yes,,,,Allows only 97156 telehealth after 6 months of service,,
Caleb/Catie,Group Marketing - Cofinity - Michigan - Private,Centria Autism Services-Michigan,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,Yes,No,N/A,Yes,,,,,,,,,
Caleb/Catie,Gratiot - Michigan - Medicaid,Centria Autism Services-Michigan,County,Medicaid,No,No,Yes,Yes,No,No,Yes,Yes,No,N/A,Yes,,,20%,Yes,Yes,Yes,Yes,Max of 8,Max of 8,Max of 8,,,
Caleb/Catie,Exceedent - Cofinity - Michigan - Private,Centria Autism Services-Michigan,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,Yes,No,N/A,Yes,,,,,,,,,
Caleb/Catie,Centra Wellness - Michigan - Medicaid,Centria Autism Services-Michigan,County,Medicaid,No,No,Yes,Yes,No,No,Yes,Yes,No,N/A,Yes,,,20%,Yes,Yes,Yes,Yes,Max of 8,Max of 8,Max of 8,,,
Caleb/Catie,Aetna - Michigan - Private,Centria Autism Services-Michigan,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,Yes,No,N/A,Yes,,,,,,,Telehealth allowed for self-funded plans,,
Caleb/Catie,First Choice Health - Oregon - Private,Centria Autism Services-Oregon,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,,Yes,No,N/A,,Yes,Yes,Yes,,,,,,
Caleb/Catie,Optum - Michigan - Private,Centria Autism Services-Michigan,National,Private,Yes,60 Days,No,No,No,No,Yes,Yes,Yes,93,Yes,Yes,Yes,20%,No,Yes,Yes,Yes,No,No,No,"Direct supervision time may account for 50 percent of more of case supervision time, with the remaining time utilized in indirect supervisory activities such as treatment planning; 90791 allowed via telehealth",,
Caleb/Catie,Encore - Indiana - Private,Centrality Behavior Support Training,State,Private,No,No,Yes,Yes,No,No,No,No,No,N/A,,,,,,,,,,,,,,
Caleb/Catie,ComPsych - Oregon - Private,Centria Autism Services-Oregon,National,Private,No,No,Yes,Yes,No,No,Yes,Yes,No,N/A,,,,,,No,No,No,,,,,,
Caleb/Catie,ComPsych - National - Private,Centrality Behavior Support Training,National,Private,No,No,Yes,Yes,No,No,Yes,Yes,No,N/A,,,,,,,,,,,,,,
Caleb/Catie,ComPsych - Michigan - Private,Centria Autism Services-Michigan,National,Private,No,No,Yes,Yes,No,No,Yes,Yes,No,N/A,,,,,,,,,,,,,,
Caleb/Catie,ComPsych - California - Private,Centria Autism Services-California,National,Private,No,No,Yes,Yes,No,No,Yes,Yes,No,N/A,,,,,,,,,,,,,,
Caleb/Catie,CHAMPVA - Michigan - CHAMPVA,Centria Autism Services-Michigan,State,ChampVA,Yes,No,Yes,Yes,No,No,No,Yes,No,N/A,,,,,,,,,,,,Only 97156 allowed after 6 months of service,,
Caleb/Catie,Bay Arenac - Michigan - Medicaid,Centria Autism Services-Michigan,County,Medicaid,No,No,Yes,Yes,No,No,Yes,Yes,No,N/A,Yes,,,20%,Yes,Yes,Yes,Yes,Max of 8,Max of 8,Max of 8,,,
Caleb/Catie,CareSource Marketplace - Indiana - Private,Centrality Behavior Support Training,State,Private,Yes,No,No,No,No,No,No,No,No,N/A,No,Yes,No,N/A,,,,,,,,,,
Caleb/Catie,Van Buren - Michigan - Medicaid,Centria Autism Services-Michigan,County,Medicaid,No,No,Yes,Yes,No,No,Yes,Yes,No,N/A,Yes,,,20%,Yes,Yes,Yes,Yes,Max of 8,Max of 8,Max of 8,,,
Caleb/Catie,Livingston - Michigan - Medicaid,Centria Autism Services-Michigan,County,Medicaid,No,No,Yes,Yes,No,No,Yes,Yes,No,N/A,Yes,,,20%,Yes,Yes,Yes,Yes,Max of 8,Max of 8,Max of 8,,,
Caleb/Catie,Saginaw - Michigan - Medicaid,Centria Autism Services-Michigan,County,Medicaid,No,No,Yes,Yes,No,No,Yes,Yes,No,N/A,Yes,,,20%,Yes,Yes,Yes,Yes,Max of 8,Max of 8,Max of 8,,,
Caleb/Catie,Carelon - San Joaquin - California - Medi-Cal,Centria Autism Services-California,County,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,93,,Yes,No,N/A,,,,,,,,,,
Caleb/Catie,Carelon - San Francisco - California - Medi-Cal,Centria Autism Services-California,County,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,93,,Yes,No,N/A,,,,,,,,,,
Caleb/Catie,Carelon - Oregon - Private,Centria Autism Services-Oregon,National,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,No,No,No,N/A,,No,No,No,,,,Only 90791 allowed via telehealth,,
Caleb/Catie,Carelon - Michigan - Private,Centria Autism Services-Michigan,National,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,No,,,,,,,,,,,Only 90791 allowed via telehealth,,
Caleb/Catie,Carelon - Indiana - Private,Centrality Behavior Support Training,National,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,No,No,No,N/A,,,,,,,,Only 90791 allowed via telehealth,,
Caleb/Catie,Carelon - Gold Coast - California - Medi-Cal,Centria Autism Services-California,County,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,93,,Yes,No,N/A,,,,,,,,,,
Caleb/Catie,Carelon - Central California - Medi-Cal,Centria Autism Services-California,County,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,93,,Yes,No,N/A,,,,,,,,,,
Caleb/Catie,Carelon - California - Private,Centria Autism Services-California,National,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,No,No,No,N/A,,,,,,,,Only 90791 allowed via telehealth,,
Caleb/Catie,Central Michigan - Michigan - Medicaid,Centria Autism Services-Michigan,County,Medicaid,No,No,Yes,Yes,No,No,Yes,Yes,No,N/A,Yes,,,20%,Yes,Yes,Yes,Yes,Max of 8,Max of 8,Max of 8,,,
Caleb/Catie,BlueShield - California - Private,Centria Autism Services-California,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,,,,,,,,,,,,,,
Caleb/Catie,BC Anthem - California - Medi-Cal,Centria Autism Services-California,County,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,93,No,Yes,No,N/A,Yes,No,No,No,,,,Only 90791 allowed via telehealth,,
Caleb/Catie,ASR Health Benefits - Michigan - Private,Centria Autism Services-Michigan,State,Private,No,No,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
Caleb/Catie,Blue Care Network - Michigan - Private,Centria Autism Services-Michigan,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,,,,,,,,,,,,,
Caleb/Catie,Riverwood - Michigan - Medicaid,Centria Autism Services-Michigan,County,Medicaid,No,No,Yes,Yes,No,No,Yes,Yes,No,N/A,Yes,,,20%,Yes,Yes,Yes,Yes,Max of 8,Max of 8,Max of 8,,,
Caleb/Catie,Lifeways - Michigan - Medicaid,Centria Autism Services-Michigan,County,Medicaid,No,No,Yes,Yes,No,No,Yes,Yes,No,N/A,Yes,,,20%,Yes,Yes,Yes,Yes,Max of 8,Max of 8,Max of 8,,,
Caleb/Catie,CEI - Michigan - Medicaid,Centria Autism Services-Michigan,County,Medicaid,No,No,Yes,Yes,No,No,Yes,Yes,No,N/A,Yes,,,20%,Yes,Yes,Yes,Yes,Max of 8,Max of 8,Max of 8,,,
Caleb/Catie,BCBS - Michigan - Private,Centria Autism Services-Michigan,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,,,,Yes,No,No,No,,,,,,
Caleb/Catie,Network180 - Michigan - Medicaid,Centria Autism Services-Michigan,County,Medicaid,No,No,Yes,Yes,No,No,Yes,Yes,No,N/A,Yes,,,20%,Yes,Yes,Yes,Yes,Max of 8,Max of 8,Max of 8,,,
Caleb/Catie,Detroit Wayne - Michigan - Medicaid,Centria Autism Services-Michigan,County,Medicaid,No,No,Yes,Yes,No,No,Yes,Yes,No,N/A,Yes,,,20%,Yes,Yes,Yes,Yes,Max of 8,Max of 8,Max of 8,,,
Caleb/Catie,Cigna Evernorth - Indiana - Private,Centrality Behavior Support Training,National,Private,Yes,No,No,No,No,Yes,Yes,Yes,No,N/A,No,Yes,Yes,20%,Yes,No,No,No,,,,Only 90791 allowed via telehealth,,
Caleb/Catie,Cigna Evernorth - California - Private,Centria Autism Services-California,National,Private,Yes,No,No,No,No,Yes,Yes,Yes,No,N/A,No,Yes,Yes,20%,Yes,No,No,No,,,,Only 90791 allowed via telehealth,,
Caleb/Catie,Cigna Evernorth - Oregon - Private,Centria Autism Services-Oregon,National,Private,Yes,No,No,No,No,Yes,Yes,Yes,No,N/A,No,Yes,Yes,20%,Yes,No,No,No,,,,Only 90791 allowed via telehealth,,
Caleb/Catie,CareSource - Indiana - Medicaid,Centrality Behavior Support Training,State,Medicaid,Yes,No,No,No,No,No,Yes,Yes,No,N/A,No,Yes,No,N/A,,,,,,,,Only 90791 allowed via telehealth,,
Caleb/Catie,CalOptima - California - Medi-Cal,Centria Autism Services-California,County,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,93,,Yes,No,N/A,,,,,,,,,,
Caleb/Catie,Molina - California - Medi-Cal,Centria Autism Services-California,County,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,93,,Yes,No,N/A,,,,,,,,,,
Caleb/Catie,Providence Health Plan - Oregon - Private,Centria Autism Services-Oregon,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,,Yes,No,10%,Yes,Yes,Yes,Yes,,,,,,
Caleb/Catie,BC Anthem - California - Private,Centria Autism Services-California,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,,,,,Yes,No,No,No,,,,,,
Caleb/Catie,Aetna Meritain - Oregon - Private,Centria Autism Services-Oregon,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,Yes,No,N/A,Yes,Yes,Yes,Yes,,,,Telehealth allowed for self-funded plans,,
Caleb/Catie,InterCommunity Health Network CCO- Oregon - Medicaid,Centria Autism Services-Oregon,State,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,Yes,No,N/A,Yes,No,Yes,Yes,,,,OHA regulation 1/12/24 no more than 1 hour of concurrent supervision,,
Caleb/Catie,MHS - Hoosier Healthwise - Hoosier Care Connect - Indiana - Medicaid,Centrality Behavior Support Training,State,Medicaid,Yes,No,No,No,No,No,Yes,Yes,No,N/A,No,Yes,No,N/A,,,,,,,,Only 90791 allowed via telehealth,,
Caleb/Catie,Traditional Medicaid - Indiana - Medicaid,Centrality Behavior Support Training,State,Medicaid,Yes,No,No,No,No,No,Yes,Yes,No,N/A,No,Yes,No,N/A,,,,,,,,Only 90791 allowed via telehealth,,
Caleb/Catie,Yamhill - Oregon - Medicaid,Centria Autism Services-Oregon,State,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,Yes,No,10%,Yes,No,Yes,Yes,,,,OHA regulation 1/12/24 no more than 1 hour of concurrent supervision,,
Caleb/Catie,Trillium - Oregon - Medicaid,Centria Autism Services-Oregon,State,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,Yes,No,N/A,Yes,No,Yes,Yes,,,,OHA regulation 1/12/24 no more than 1 hour of concurrent supervision,,
Caleb/Catie,OHP - Oregon - Medicaid,Centria Autism Services-Oregon,State,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,Yes,No,N/A,Yes,No,Yes,Yes,,,,OHA regulation 1/12/24 no more than 1 hour of concurrent supervision,,
Caleb/Catie,BCBS Anthem - Indiana - Private,Centrality Behavior Support Training,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,No,Yes,No,N/A,Yes,No,No,No,,,,,,
Caleb/Catie,Regence - Oregon - Private,Centria Autism Services-Oregon,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,,Yes,No,N/A,,No,No,No,,,,,,
Caleb/Catie,Magellan - Oregon - Private,Centria Autism Services-Oregon,National,Private,Yes,No,Yes,No,No,Yes,Yes,Yes,No,N/A,Yes,Yes,No,N/A,,No,No,No,,,,Approval for Tele Psych Testing is temporary,,
Caleb/Catie,Kaiser Permanente - Oregon - Medicaid,Centria Autism Services-Oregon,State,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,Yes,No,N/A,Yes,No,Yes,Yes,,,,OHA regulation 1/12/24 no more than 1 hour of concurrent supervision,,
Caleb/Catie,Cigna Evernorth - Michigan - Private,Centria Autism Services-Michigan,National,Private,Yes,No,No,No,No,Yes,Yes,Yes,No,N/A,No,Yes,Yes,20%,Yes,No,No,No,,,,Only 90791 allowed via telehealth,,
Caleb/Catie,CareOregon - Jackson CC - Oregon - Medicaid,Centria Autism Services-Oregon,State,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,Yes,No,N/A,Yes,No,Yes,Yes,,,,OHA regulation 1/12/24 no more than 1 hour of concurrent supervision,,
Caleb/Catie,CareOregon - Healthshare - Oregon - Medicaid,Centria Autism Services-Oregon,State,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,Yes,No,N/A,Yes,No,Yes,Yes,,,,OHA regulation 1/12/24 no more than 1 hour of concurrent supervision,,
Caleb/Catie,CareOregon - Columbia Pacific - Oregon - Medicaid,Centria Autism Services-Oregon,State,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,Yes,No,N/A,Yes,No,Yes,Yes,,,,OHA regulation 1/12/24 no more than 1 hour of concurrent supervision,,
Caleb/Catie,Kaiser Permanente - Oregon - Private,Centria Autism Services-Oregon,State,Private,Yes,No,No,No,No,Yes,Yes,Yes,No,N/A,,Yes,No,N/A,Yes,No,Yes,Yes,,,,,,
Caleb/Catie,HAP - Michigan - Private,Centria Autism Services-Michigan,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,,,,,,,,,,,,,,
Caleb/Catie,Aetna - Oregon - Private,Centria Autism Services-Oregon,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,Yes,No,N/A,Yes,Yes,Yes,Yes,,,,Telehealth allowed for self-funded plans,,
Caleb/Catie,Optum - Oregon - Private,Centria Autism Services-Oregon,National,Private,Yes,60 Days,No,No,No,No,Yes,Yes,Yes,93,Yes,Yes,Yes,20%,No,Yes,Yes,Yes,No,No,No,"Direct supervision time may account for 50 percent of more of case supervision time, with the remaining time utilized in indirect supervisory activities such as treatment planning; 90791 allowed via telehealth",,
Caleb/Catie,PacificSource - Oregon - Medicaid,Centria Autism Services-Oregon,State,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,Yes,No,N/A,Yes,No,Yes,Yes,,,,OHA regulation 1/12/24 no more than 1 hour of concurrent supervision,,
Caleb/Catie,Priority Health - Michigan - Private,Centria Autism Services-Michigan,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,,,,,No,No,No,No,No,No,All BCBA and Psych testing codes allowed for interactive audio/visual Telehealth. 90791 allowed for audio only.,,
Caleb/Catie,BCBS Anthem - Indiana - Medicaid,Centrality Behavior Support Training,State,Medicaid,Yes,No,No,No,No,No,Yes,Yes,No,N/A,No,Yes,No,N/A,Yes,No,No,No,,,,Only 90791 allowed via telehealth,,
